ticker,category,selected,rest
Universitat Oberta Catalunya,Education,0.07576,0.04288
Repsol Energia,Energy,0.01255,0.01289
Fundacion Teaming,Non-Profit,0.00629,0.00549
Mercedes Benz,Automotive,0.03636,0.03733
Marco Aldany,Apparel,0.01956,0.01813
Som Energia,Energy,0.05927,0.04701
SMAP,Parking,0.00142,0.00101
K-Tuin,Retail Stores,0.07600,0.06000
La Redoute,E-commerce,0.01627,0.01363
Cepsa,Fuel,0.90598,0.89906
Eroski Estaciones de Sercvicio,Fuel,0.01491,0.02613
Toys R Us,Retail Stores,0.04710,0.05034
Ubereats.com,Delivery,0.11733,0.08007
Mamma Mia,Restaurant,0.00227,0.00253
Blanco,Home Goods,0.00100,0.00155
Vodafone,Telecom,1.36512,2.23619
Habanera,Restaurant,0.00511,0.00329
Ahorramas,Grocery,0.57760,0.55464
Santander Generales,Insurance,0.07054,0.07729
Twins,Retail Stores,0.02869,0.04643
Northweek,Apparel,0.00321,0.00319
G Star,Apparel,0.00648,0.00556
La Mafia,Restaurant,0.00951,0.00908
Volkswagen Financial Services,Financial Services,0.89577,0.86308
Udaco,Education,0.00331,0.00217
Tino Gonzalez,Restaurant,0.00323,0.00537
Cashper,Financial Services,0.03041,0.03059
Intimissimi,Apparel,0.03831,0.03266
Ecooltra,Transportation,0.03306,0.01719
Guadalcesa,Utilities,0.00112,0.00109
Merkal,Grocery,0.03307,0.04540
Reparalia,Home Improvement,0.00401,0.00444
Euskaltel,Telecom,0.08379,0.10206
Logitravel.com,Travel,0.03443,0.03656
Saba Aparcamientos,Transportation,0.01359,0.00938
Agoda.com,Travel,0.00404,0.00434
Toy Planet,Retail Stores,0.00492,0.00721
Airbnb.com,Travel,0.73869,0.56141
Oxfam Interman,Non-Profit,0.03674,0.02142
La Tagliatella,Restaurant,0.13838,0.11009
Perfumerias Laguna,Beauty,0.00106,0.00146
Claire's,Apparel,0.00794,0.00671
Only You Hotels,Travel,0.00526,0.00173
Metro Barcelona,Transportation,0.19033,0.13018
Caser,Insurance,0.18739,0.27829
Auto Res,Insurance,0.00528,0.00647
Faunia,Attractions,0.00528,0.00480
Hertz,Transportation,0.04999,0.03979
AMA Seguros,Insurance,0.05012,0.06314
Amazonico,Restaurant,0.00524,0.00260
Spagnolo,Restaurant,0.00108,0.00150
PSN,Gaming,0.01907,0.02624
Alimerka,Grocery,0.11858,0.13661
Reale,Insurance,0.12545,0.19222
Aviva,Insurance,0.00982,0.00988
Honda Bank,Financial Services,0.07900,0.06534
Starbucks,Restaurant,0.06504,0.03529
Ibis Budget,Travel,0.00713,0.00604
Starlite,Events,0.00514,0.00390
Petit Bateau,Children,0.00217,0.00175
Balearia,Transportation,0.02950,0.02239
Budget,Rental Cars,0.00490,0.00352
Adidas,Apparel,0.09758,0.08580
Querol,Grocery,0.00427,0.00462
Condis Express,Grocery,0.00765,0.00499
La Vaca Argentina,Restaurant,0.00240,0.00137
Wish,E-commerce,0.02854,0.04409
Super Amara,Grocery,0.02878,0.02640
Chicfy,E-commerce,0.00546,0.00781
Bimba y Lola,Apparel,0.04152,0.03442
Uber,Transportation,0.24413,0.14920
Subway,Fast Food,0.00553,0.00427
Dormity,Home Goods,0.00884,0.00727
EDP HC Energia,Energy,0.01766,0.03764
HBO,Streaming,0.53852,0.01638
El Ganso,Apparel,0.02557,0.01826
Steam,Gaming,0.09594,0.04995
Vitaldent,Healthcare,0.00334,0.00606
Nautalia,Travel,0.01411,0.01846
Perfumeria If,Beauty,0.00114,0.00126
