ticker,category,selected,rest
AP-1 Europistas,Transportation,0.00699,0.00827
Letsbonus,Loyalty,0.00292,0.00375
Hilton,Travel,0.01029,0.00928
Accion contra el hambre,Non-Profit,0.01167,0.00894
Deliberry,Delivery,0.01499,0.00873
Raro Rare,Apparel,0.00062,0.00073
Amgen seguros,Insurance,0.00732,0.01200
Maskom,Cosmetics,0.00220,0.00278
Flip Energia,Energy,0.00876,0.01013
Bonarea,Retail Stores,0.16016,0.16114
Iberpistas,Transportation,0.00586,0.00542
Pokerstars,Gambling,0.02271,0.01753
Glorias Multicines,Movies,0.00118,0.00041
Blood Brothers,Entertainment,0.00276,0.00157
Carl's Jr,Fast Food,0.00501,0.00278
Westwing,Home Goods,0.00515,0.01288
Electrodomesticos Miro,Electronics,0.00536,0.00607
Spejo's,Restaurant,0.00078,0.00186
LAE (Loterias y Apuestas del Estado),Entertainment,0.17099,0.16678
FK Donna Uomo,Apparel,0.00045,0.00088
Peyote,Restaurant,0.00100,0.00160
Zity,Transportation,0.01987,0.01302
Aucalsa,Fuel,0.01456,0.01439
Tuenti Movil,Telecom,0.02405,0.01554
Microsoft Xbox,Gaming,0.03368,0.00940
Pipa&Co,Pet Supplies,0.00073,0.00148
Consum,Grocery,0.70049,0.69446
Hipercor,Grocery,0.12347,0.14815
RIU,Travel,0.00730,0.00437
Marieta,Jewelry,0.00077,0.00118
Supeco,Grocery,0.02256,0.02939
Burger King,Fast Food,0.30729,0.19283
888,Gambling,0.02812,0.04701
Serviapuestas,Gambling,0.00205,0.00448
Crocantickets,Entertainment,0.01790,0.01141
Glovo,Delivery,0.73358,0.34679
beIN Sports,Entertainment,0.01632,0.00857
Dominos Pizza,Fast Food,0.27043,0.10034
The Body Shop,Beauty,0.00919,0.01161
Oro Vivo,Jewelry,0.00394,0.00495
Wowble,Travel,0.00071,0.00031
Cruz Blanca,Healthcare,0.00182,0.00280
Goldcar,Transportation,0.05439,0.05316
TradeInn,Financial Services,0.00341,0.00544
Metlife,Insurance,0.02690,0.03279
La Oca,Restaurant,0.00075,0.00190
Medicos del Mundo,Non-Profit,0.01111,0.00744
McFit,Fitness,0.05709,0.04185
Helvetia,Insurance,0.05026,0.07576
Moneyman,Financial Services,0.06297,0.05430
Transavia,Airlines,0.01359,0.01182
Redentradas,Tickets,0.00094,0.00258
The Phone House,Electronics,0.05359,0.04643
Jazztel,Telecom,0.53586,0.58715
Aparcamientos Sama,Parking,0.00103,0.00106
Google Play,Subscription Services,0.12655,0.03573
Super BM,Grocery,0.22036,0.21355
The Irish Rover,Restaurant,0.00340,0.00208
Oh my cut,Beauty,0.00156,0.00421
Bonpreu,Grocery,0.26491,0.21981
New Balance,Apparel,0.00842,0.01068
Nike,Apparel,0.12024,0.14378
Pannus,Apparel,0.00072,0.00038
Hawkers,Apparel,0.02155,0.02035
Banco Sabadell Seguros Generales,Insurance,0.05494,0.06835
Bluemove,Transportation,0.00491,0.00389
Simyo,Telecom,0.09973,0.10262
Verdecora,Home Goods,0.02013,0.02573
Banque PSA Finance,Financial Services,0.37558,0.37947
Alterna,Beauty,0.01351,0.01354
Krunch,Restaurant,0.00335,0.00215
Botticelli,Restaurant,0.00217,0.00440
Plus Ultra Seguros,Insurance,0.10721,0.16319
Sanitas,Healthcare,0.23793,0.41286
Bricor,Home Goods,0.01429,0.01758
Atrapalo.com,Travel,0.05248,0.06934
A loja do gato preto,Pet Supplies,0.00871,0.01065
Mequedouno,E-commerce,0.01121,0.00887
Loro Parque,Attractions,0.00298,0.00144
Carrefour Market,Grocery,0.07078,0.07438
Disa,Fuel,0.01961,0.01795
Acesa,Transportation,0.08458,0.08585
Somnium,Home Goods,0.00388,0.00240
Hackett,Security Services,0.00329,0.00620
E-Park,Transportation,0.00880,0.01239
San Remo Perfumeries,Beauty,0.00241,0.00238
Pompei,Restaurant,0.00403,0.00661
Nicoli,Accessories,0.00108,0.00451
Muy Mucho,Retail Stores,0.00449,0.00740
Bankinter Consumer Finance,Financial Services,0.06749,0.09964
Puma,Apparel,0.00365,0.00626
casa del libro,Retail Stores,0.04064,0.03643
Binter Canarias,Airlines,0.01569,0.01226
Cines IMF,Movies,0.00222,0.00103
Creditea,Financial Services,0.01007,0.02532
Zooplus,Pet Supplies,0.12257,0.06344
Saras Energia,Energy,0.00529,0.00648
Vidal Tiendas,Retail Stores,0.08715,0.12607
Norwegian,Transportation,0.06096,0.05866
Pavapark,Parking,0.00216,0.00089
Galp,Fuel,0.13696,0.12877
UNED,Education,0.05999,0.04694
Movo,Transportation,0.00216,0.00213
Cines ABC,Entertainment,0.00529,0.00380
Caritas,Non-Profit,0.00955,0.01343
Dockers,Apparel,0.00325,0.00317
Emirates,Airlines,0.01414,0.01554
Ventura24,Financial Services,0.00308,0.00264
Seguros Santa Lucia,Insurance,0.12894,0.26156
Greenpeace,Non-Profit,0.01039,0.01261
Makro,Grocery,0.13968,0.16253
General Optica,Healthcare,0.04376,0.05714
Telepeaje Via T,Transportation,0.04912,0.06056
Champion,Apparel,0.00356,0.00589
Carrefour Express,Grocery,0.05376,0.05073
Cruz Roja,Non-Profit,0.06949,0.07801
Parc de la Mar,Attractions,0.00043,0.00036
Tulotero,Entertainment,0.10364,0.09930
Taco Bell,Fast Food,0.02904,0.01654
Securitas Direct,Security Services,0.14241,0.22664
Sorli,Grocery,0.07725,0.05311
Papa John's,Fast Food,0.02030,0.01134
Bofrost,Delivery,0.02522,0.01229
Asics,Apparel,0.01512,0.01750
Ballenoil,Fuel,0.11397,0.13714
Viena capellanes,Restaurant,0.00721,0.00683
Tommy Mel's,Restaurant,0.01759,0.00986
Badoo,Dating App,0.00920,0.00186
Cines Renoir,Movies,0.00215,0.00160
Liberty Seguros,Insurance,0.26504,0.40553
Delticom,Automotive,0.00960,0.00473
Qualitas Auto,Automotive,0.13663,0.09022
Aldro Energia,Energy,0.01843,0.02817
Endesa,Fuel,0.99202,1.52650
Metro Madrid,Transportation,0.51517,0.38004
Avanza Bus,Travel,0.00717,0.00241
Primark,Apparel,0.32427,0.48375
