valuedate,revenue
2017-11-16,114533
2017-11-17,84468
2017-11-18,56854
2017-11-19,59790
2017-11-20,155892
2017-11-21,158018
2017-11-22,164076
2017-11-23,212308
2017-11-24,371965
2017-11-25,176395
2017-11-26,186513
2017-11-27,313818
2017-11-28,283098
2017-11-29,220213
2017-11-30,163034
2017-12-01,225485
2017-12-02,143548
2017-12-03,112973
2017-12-04,182387
2017-12-05,183891
2017-12-06,95931
2017-12-07,199071
2017-12-08,104276
2017-12-09,146346
2017-12-10,83895
2017-12-11,257881
2017-12-12,228541
2017-12-13,210507
2017-12-14,217740
2017-12-15,183059
2017-12-16,95426
2017-12-17,126719
2017-12-18,278742
2017-12-19,259727
2017-12-20,239033
2017-12-21,220704
2017-12-22,165371
2017-12-23,107402
2017-12-24,67179
2017-12-25,34358
2017-12-26,259375
2017-12-27,192601
2017-12-28,277806
2017-12-29,271056
2017-12-30,151779
2017-12-31,96822
2018-01-01,47342
2018-01-02,325918
2018-01-03,216644
2018-01-04,241810
2018-01-05,192876
2018-01-06,82724
2018-01-07,86754
2018-01-08,175446
2018-01-09,163336
2018-01-10,177107
2018-01-11,139268
2018-01-12,133048
2018-01-13,77330
2018-01-14,71467
2018-01-15,147807
2018-01-16,130301
2018-01-17,142181
2018-01-18,113890
2018-01-19,96841
2018-01-20,62524
2018-01-21,60272
2018-01-22,120333
2018-01-23,118857
2018-01-24,120381
2018-01-25,96058
2018-01-26,100038
2018-01-27,54612
2018-01-28,60177
2018-01-29,126367
2018-01-30,122127
2018-01-31,132234
2018-02-01,121539
2018-02-02,101223
2018-02-03,70042
2018-02-04,68045
2018-02-05,137230
2018-02-06,124909
2018-02-07,138756
2018-02-08,113798
2018-02-09,102423
2018-02-10,63432
2018-02-11,60612
2018-02-12,126377
2018-02-13,126087
2018-02-14,126477
2018-02-15,100658
2018-02-16,86625
2018-02-17,57613
2018-02-18,57696
2018-02-19,107849
2018-02-20,113011
2018-02-21,117283
2018-02-22,102316
2018-02-23,84652
2018-02-24,54380
2018-02-25,58346
2018-02-26,117584
2018-02-27,115357
2018-02-28,114666
2018-03-01,113005
2018-03-02,92333
2018-03-03,71688
2018-03-04,61528
2018-03-05,142412
2018-03-06,119093
2018-03-07,129830
2018-03-08,119939
2018-03-09,92057
2018-03-10,58104
2018-03-11,63208
2018-03-12,128714
2018-03-13,113905
2018-03-14,134840
2018-03-15,121608
2018-03-16,97114
2018-03-17,61381
2018-03-18,55689
2018-03-19,128392
2018-03-20,120078
2018-03-21,115211
2018-03-22,103284
2018-03-23,94453
2018-03-24,53691
2018-03-25,56792
2018-03-26,118119
2018-03-27,97047
2018-03-28,104303
2018-03-29,71490
2018-03-30,38609
2018-03-31,38769
2018-04-01,41424
2018-04-02,109879
2018-04-03,126194
2018-04-04,123981
2018-04-05,125861
2018-04-06,103078
2018-04-07,58955
2018-04-08,56122
2018-04-09,129690
2018-04-10,128121
2018-04-11,127155
2018-04-12,114634
2018-04-13,100522
2018-04-14,56666
2018-04-15,58131
2018-04-16,128952
2018-04-17,129768
2018-04-18,119430
2018-04-19,126167
2018-04-20,96337
2018-04-21,56345
2018-04-22,60873
2018-04-23,131629
2018-04-24,125237
2018-04-25,127241
2018-04-26,125120
2018-04-27,103635
2018-04-28,56225
2018-04-29,58945
2018-04-30,125766
2018-05-01,58903
2018-05-02,159439
2018-05-03,124979
2018-05-04,124633
2018-05-05,73414
2018-05-06,65942
2018-05-07,150695
2018-05-08,146814
2018-05-09,143305
2018-05-10,126019
2018-05-11,106547
2018-05-12,55562
2018-05-13,57498
2018-05-14,127912
2018-05-15,125017
2018-05-16,147684
2018-05-17,121632
2018-05-18,103995
2018-05-19,50810
2018-05-20,55153
2018-05-21,122028
2018-05-22,136852
2018-05-23,115601
2018-05-24,123031
2018-05-25,103659
2018-05-26,48603
2018-05-27,48110
2018-05-28,129631
2018-05-29,123414
2018-05-30,120222
2018-05-31,120158
2018-06-01,103862
2018-06-02,51624
2018-06-03,70684
2018-06-04,141075
2018-06-05,107577
2018-06-06,145400
2018-06-07,124913
2018-06-08,108205
2018-06-09,57003
2018-06-10,59268
2018-06-11,149902
2018-06-12,149380
2018-06-13,166348
2018-06-14,112848
2018-06-15,113870
2018-06-16,58142
2018-06-17,61338
2018-06-18,135901
2018-06-19,138826
2018-06-20,143513
2018-06-21,119910
2018-06-22,115755
2018-06-23,61033
2018-06-24,57989
2018-06-25,144666
2018-06-26,133637
2018-06-27,145241
2018-06-28,131272
2018-06-29,125681
2018-06-30,71260
2018-07-01,66147
2018-07-02,171001
2018-07-03,147269
2018-07-04,156215
2018-07-05,150749
2018-07-06,115437
2018-07-07,62318
2018-07-08,67907
2018-07-09,161263
2018-07-10,145028
2018-07-11,150993
2018-07-12,126157
2018-07-13,105327
2018-07-14,59030
2018-07-15,53853
2018-07-16,316980
2018-07-17,353482
2018-07-18,332943
2018-07-19,328783
2018-07-20,276229
2018-07-21,108916
2018-07-22,78853
2018-07-23,200804
2018-07-24,140879
2018-07-25,171860
2018-07-26,136337
2018-07-27,106200
2018-07-28,63600
2018-07-29,59497
2018-07-30,147518
2018-07-31,101691
2018-08-01,109497
2018-08-02,69734
2018-08-03,55829
2018-08-04,22953
2018-08-05,25758
2018-08-06,61298
2018-08-07,53412
2018-08-08,69232
2018-08-09,61262
2018-08-10,48187
2018-08-11,31656
2018-08-12,24524
2018-08-13,61156
2018-08-14,43516
2018-08-15,27717
2018-08-16,71693
2018-08-17,45339
2018-08-18,31065
2018-08-19,27330
2018-08-20,66037
2018-08-21,55706
2018-08-22,62915
2018-08-23,50454
2018-08-24,43814
2018-08-25,25553
2018-08-26,27895
2018-08-27,55986
2018-08-28,59423
2018-08-29,74044
2018-08-30,58670
2018-08-31,54306
2018-09-01,25713
2018-09-02,39274
2018-09-03,79760
2018-09-04,72084
2018-09-05,87870
2018-09-06,85628
2018-09-07,64773
2018-09-08,32505
2018-09-09,29943
2018-09-10,76626
2018-09-11,65506
2018-09-12,81132
2018-09-13,60714
2018-09-14,59478
2018-09-15,34003
2018-09-16,33862
2018-09-17,66587
2018-09-18,65626
2018-09-19,74429
2018-09-20,60048
2018-09-21,49575
2018-09-22,25283
2018-09-23,28826
2018-09-24,73251
2018-09-25,56481
2018-09-26,72571
2018-09-27,60719
2018-09-28,46832
2018-09-29,33648
2018-09-30,31340
2018-10-01,69896
2018-10-02,67141
2018-10-03,74080
2018-10-04,58641
2018-10-05,61818
2018-10-06,33659
2018-10-07,34122
2018-10-08,69620
2018-10-09,65478
2018-10-10,71447
2018-10-11,55414
2018-10-12,28505
2018-10-13,31800
2018-10-14,25848
2018-10-15,83122
2018-10-16,60769
2018-10-17,74308
2018-10-18,64150
2018-10-19,51013
2018-10-20,38617
2018-10-21,44214
2018-10-22,95234
2018-10-23,111693
2018-10-24,130414
2018-10-25,120704
2018-10-26,83699
2018-10-27,71347
2018-10-28,66092
2018-10-29,174998
2018-10-30,130452
2018-10-31,116822
2018-11-01,68138
2018-11-02,136093
2018-11-03,57656
2018-11-04,70082
2018-11-05,151973
2018-11-06,139270
2018-11-07,152163
2018-11-08,126154
2018-11-09,109821
2018-11-10,66318
2018-11-11,64146
2018-11-12,146275
2018-11-13,120195
2018-11-14,149893
2018-11-15,125195
2018-11-16,95406
2018-11-17,61918
2018-11-18,52551
2018-11-19,201975
2018-11-20,161744
2018-11-21,208274
2018-11-22,279586
2018-11-23,448642
2018-11-24,246986
2018-11-25,205222
2018-11-26,456271
2018-11-27,328716
2018-11-28,314682
2018-11-29,261902
2018-11-30,170137
2018-12-01,107621
2018-12-02,98124
2018-12-03,236579
2018-12-04,196042
2018-12-05,199179
2018-12-06,120951
2018-12-07,233478
2018-12-08,76821
2018-12-09,126439
2018-12-10,268760
2018-12-11,243349
2018-12-12,253140
2018-12-13,234039
2018-12-14,213246
2018-12-15,137354
2018-12-16,149922
2018-12-17,328629
2018-12-18,294414
2018-12-19,311602
2018-12-20,280797
2018-12-21,216182
2018-12-22,132329
2018-12-23,109817
2018-12-24,217803
2018-12-25,85398
2018-12-26,285224
2018-12-27,242981
2018-12-28,273256
2018-12-29,194561
2018-12-30,150621
2018-12-31,266876
2019-01-01,86554
2019-01-02,385362
2019-01-03,212107
2019-01-04,249371
2019-01-05,95394
2019-01-06,94538
2019-01-07,230834
2019-01-08,175648
2019-01-09,192685
2019-01-10,197918
2019-01-11,166093
2019-01-12,79046
2019-01-13,83046
2019-01-14,190574
2019-01-15,136562
2019-01-16,165419
2019-01-17,143025
2019-01-18,109216
2019-01-19,75804
2019-01-20,73761
2019-01-21,145688
2019-01-22,133622
2019-01-23,144224
2019-01-24,126417
2019-01-25,100930
2019-01-26,67775
2019-01-27,65198
2019-01-28,151346
2019-01-29,136218
2019-01-30,143307
2019-01-31,124451
2019-02-01,118612
2019-02-02,76595
2019-02-03,82153
2019-02-04,165890
2019-02-05,133358
2019-02-06,154343
2019-02-07,132110
2019-02-08,107116
2019-02-09,71955
2019-02-10,68766
2019-02-11,150119
2019-02-12,139470
2019-02-13,159095
2019-02-14,119726
2019-02-15,102211
2019-02-16,64699
2019-02-17,61758
2019-02-18,150525
2019-02-19,122989
2019-02-20,152723
2019-02-21,132360
2019-02-22,115736
2019-02-23,69606
2019-02-24,69861
2019-02-25,151340
2019-02-26,142878
2019-02-27,151560
2019-02-28,118374
2019-03-01,118717
2019-03-02,72767
2019-03-03,84829
2019-03-04,167673
2019-03-05,142931
2019-03-06,163382
2019-03-07,152986
2019-03-08,112434
2019-03-09,72648
2019-03-10,79806
2019-03-11,170084
2019-03-12,143365
2019-03-13,164884
2019-03-14,134448
2019-03-15,119783
2019-03-16,74602
2019-03-17,73546
2019-03-18,155677
2019-03-19,138906
2019-03-20,161324
2019-03-21,128987
2019-03-22,115322
2019-03-23,70484
2019-03-24,68168
2019-03-25,152172
2019-03-26,135903
2019-03-27,151260
2019-03-28,138745
2019-03-29,110221
2019-03-30,75732
2019-03-31,79867
2019-04-01,183975
2019-04-02,157746
2019-04-03,184877
2019-04-04,154791
2019-04-05,135813
2019-04-06,79706
2019-04-07,88747
2019-04-08,187779
2019-04-09,159401
2019-04-10,173662
2019-04-11,153039
2019-04-12,116490
2019-04-13,71766
2019-04-14,68211
2019-04-15,154287
2019-04-16,128871
2019-04-17,124411
2019-04-18,94646
2019-04-19,47318
2019-04-20,55450
2019-04-21,50291
2019-04-22,134769
2019-04-23,159794
2019-04-24,159700
2019-04-25,157769
2019-04-26,128242
2019-04-27,69205
2019-04-28,75034
2019-04-29,166482
2019-04-30,139526
2019-05-01,89296
2019-05-02,188917
2019-05-03,135983
2019-05-04,81194
2019-05-05,93471
2019-05-06,183482
2019-05-07,167126
2019-05-08,170237
2019-05-09,145011
2019-05-10,124445
2019-05-11,76281
2019-05-12,72475
2019-05-13,172152
2019-05-14,139220
2019-05-15,166941
2019-05-16,139529
2019-05-17,116956
2019-05-18,69130
2019-05-19,79896
2019-05-20,163815
2019-05-21,140914
2019-05-22,154837
2019-05-23,128070
2019-05-24,114269
2019-05-25,71007
2019-05-26,61284
2019-05-27,146593
2019-05-28,137222
2019-05-29,148093
2019-05-30,141319
2019-05-31,123105
2019-06-01,63934
2019-06-02,79461
2019-06-03,187534
2019-06-04,130937
2019-06-05,212181
2019-06-06,157255
2019-06-07,139730
2019-06-08,81121
2019-06-09,72011
2019-06-10,155083
2019-06-11,159972
2019-06-12,161302
2019-06-13,154736
2019-06-14,113165
2019-06-15,93592
2019-06-16,84645
2019-06-17,173468
2019-06-18,146898
2019-06-19,161215
2019-06-20,150036
2019-06-21,111699
2019-06-22,80309
2019-06-23,69183
2019-06-24,140056
2019-06-25,160775
2019-06-26,156824
2019-06-27,158073
2019-06-28,120947
2019-06-29,89527
2019-06-30,74958
2019-07-01,193385
2019-07-02,182096
2019-07-03,188456
2019-07-04,171105
2019-07-05,142030
2019-07-06,91377
2019-07-07,87570
2019-07-08,169674
2019-07-09,161969
2019-07-10,165660
2019-07-11,156573
2019-07-12,128666
2019-07-13,69644
2019-07-14,80507
2019-07-15,441059
2019-07-16,429499
2019-07-17,444509
2019-07-18,359282
2019-07-19,309289
2019-07-20,142781
2019-07-21,92692
2019-07-22,224346
2019-07-23,185387
2019-07-24,175402
2019-07-25,155787
2019-07-26,126418
2019-07-27,79420
2019-07-28,83115
2019-07-29,164555
2019-07-30,170713
2019-07-31,154971
2019-08-01,172474
2019-08-02,127837
2019-08-03,87806
2019-08-04,84186
2019-08-05,183487
2019-08-06,162674
2019-08-07,178501
2019-08-08,153341
2019-08-09,124205
2019-08-10,71333
2019-08-11,76572
2019-08-12,149098
2019-08-13,148826
2019-08-14,129346
2019-08-15,74742
2019-08-16,155128
2019-08-17,52376
2019-08-18,80756
2019-08-19,150649
2019-08-20,154806
2019-08-21,163575
2019-08-22,137969
2019-08-23,122268
2019-08-24,78392
2019-08-25,77470
2019-08-26,162350
2019-08-27,161019
2019-08-28,174165
2019-08-29,155709
2019-08-30,134125
2019-08-31,83155
2019-09-01,88012
2019-09-02,202509
2019-09-03,178136
2019-09-04,225933
2019-09-05,170981
2019-09-06,168970
2019-09-07,75464
2019-09-08,92696
2019-09-09,199685
2019-09-10,179336
2019-09-11,202265
2019-09-12,180562
2019-09-13,132595
2019-09-14,91698
2019-09-15,107876
2019-09-16,197455
2019-09-17,173168
2019-09-18,187399
2019-09-19,157009
2019-09-20,130943
2019-09-21,78599
2019-09-22,91899
2019-09-23,183531
2019-09-24,154219
2019-09-25,164135
2019-09-26,156871
2019-09-27,141484
2019-09-28,78961
2019-09-29,84072
2019-09-30,177283
2019-10-01,184544
2019-10-02,189898
2019-10-03,173421
2019-10-04,143830
2019-10-05,84922
2019-10-06,95620
2019-10-07,172719
2019-10-08,171091
2019-10-09,165868
2019-10-10,154745
2019-10-11,119138
2019-10-12,76490
2019-10-13,82180
2019-10-14,152960
2019-10-15,148470
2019-10-16,155375
2019-10-17,153800
2019-10-18,125633
2019-10-19,76286
2019-10-20,72301
2019-10-21,178725
2019-10-22,163353
2019-10-23,165843
2019-10-24,151655
2019-10-25,127332
2019-10-26,71834
2019-10-27,81707
2019-10-28,151907
2019-10-29,160086
2019-10-30,154372
2019-10-31,116919
2019-11-01,63220
2019-11-02,78966
2019-11-03,86806
2019-11-04,188096
2019-11-05,158711
2019-11-06,180914
2019-11-07,154935
2019-11-08,138505
2019-11-09,78496
2019-11-10,87567
2019-11-11,164143
2019-11-12,182895
2019-11-13,173637
2019-11-14,174564
2019-11-15,132118
2019-11-16,79219
2019-11-17,90198
2019-11-18,175947
2019-11-19,157226
2019-11-20,162756
2019-11-21,140872
2019-11-22,200140
2019-11-23,127415
2019-11-24,145718
2019-11-25,302672
2019-11-26,310113
2019-11-27,362704
2019-11-28,358721
2019-11-29,531008
2019-11-30,240077
2019-12-01,265057
2019-12-02,581399
2019-12-03,444548
2019-12-04,450398
2019-12-05,340691
2019-12-06,184366
2019-12-07,145803
2019-12-08,109588
2019-12-09,328175
2019-12-10,277045
2019-12-11,277449
2019-12-12,266625
2019-12-13,237327
2019-12-14,153007
2019-12-15,172289
2019-12-16,357069
2019-12-17,326899
2019-12-18,374158
2019-12-19,330645
2019-12-20,312076
2019-12-21,205117
2019-12-22,174042
2019-12-23,342011
2019-12-24,234992
2019-12-25,150627
2019-12-26,284610
2019-12-27,232378
2019-12-28,203524
2019-12-29,217350
2019-12-30,408295
2020-01-01,177904
2020-01-02,400298
2020-01-03,231327
2020-01-04,185759
2020-01-05,125612
2020-01-06,87939
2020-01-07,385355
2020-01-08,194629
2020-01-09,232725
2020-01-10,211715
2020-01-11,113593
2020-01-12,111009
2020-01-13,207321
2020-01-14,191567
2020-01-15,209483
2020-01-16,176784
2020-01-17,145625
2020-01-18,94480
2020-01-19,100098
2020-01-20,184832
2020-01-21,177128
2020-01-22,187031
2020-01-23,144575
2020-01-24,130140
2020-01-25,83581
2020-01-26,85732
2020-01-27,180698
2020-01-28,169764
2020-01-29,178688
2020-01-30,162187
2020-01-31,145874
2020-02-01,94683
2020-02-02,96978
2020-02-03,208657
2020-02-04,186089
2020-02-05,197491
2020-02-06,176175
2020-02-07,143317
2020-02-08,83812
2020-02-09,94512
2020-02-10,195176
2020-02-11,188514
2020-02-12,181677
2020-02-13,160364
2020-02-14,144045
2020-02-15,82082
2020-02-16,87269
2020-02-17,169041
2020-02-18,161713
2020-02-19,162320
2020-02-20,142734
2020-02-21,128947
2020-02-22,69439
2020-02-23,79380
2020-02-24,171619
2020-02-25,157297
2020-02-26,165681
2020-02-27,147108
2020-02-28,132888
2020-02-29,84696
2020-03-01,101329
2020-03-02,189327
2020-03-03,186659
2020-03-04,190268
2020-03-05,167917
2020-03-06,145414
2020-03-07,92839
2020-03-08,88585
2020-03-09,176439
2020-03-10,176701
2020-03-11,191681
2020-03-12,173495
2020-03-13,188667
2020-03-14,111897
2020-03-15,107343
2020-03-16,204721
2020-03-17,206416
2020-03-18,173266
2020-03-19,166680
2020-03-20,160069
2020-03-21,103479
2020-03-22,109747
2020-03-23,210767
2020-03-24,200890
2020-03-25,204392
2020-03-26,190009
2020-03-27,178828
2020-03-28,126740
2020-03-29,99220
2020-03-30,218623
2020-03-31,203169
2020-04-01,206099
2020-04-02,229162
2020-04-03,216443
2020-04-04,123945
2020-04-05,129943
2020-04-06,244494
2020-04-07,237638
2020-04-08,230327
2020-04-09,194109
2020-04-10,129598
2020-04-11,106552
2020-04-12,108423
2020-04-13,270274
2020-04-14,232781
2020-04-15,276095
2020-04-16,264666
2020-04-17,239244
2020-04-18,144784
2020-04-19,142587
2020-04-20,300818
2020-04-21,263236
2020-04-22,277608
2020-04-23,267522
2020-04-24,241150
2020-04-25,159614
2020-04-26,147934
2020-04-27,299881
2020-04-28,216498
2020-04-29,223646
2020-04-30,193842
2020-05-01,252373
2020-05-02,161654
2020-05-03,225939
2020-05-04,382464
2020-05-05,323186
2020-05-06,353638
2020-05-07,276563
2020-05-08,289429
2020-05-09,167602
2020-05-10,164391
2020-05-11,330195
2020-05-12,300861
2020-05-13,296261
2020-05-14,268458
2020-05-15,243893
2020-05-16,147517
2020-05-17,153901
2020-05-18,304962
2020-05-19,279247
2020-05-20,257525
2020-05-21,282666
2020-05-22,216319
2020-05-23,166613
2020-05-24,151669
2020-05-25,322038
2020-05-26,265361
2020-05-27,305010
2020-05-28,275401
2020-05-29,226176
2020-05-30,131578
2020-05-31,143266
2020-06-01,265204
2020-06-02,266364
