valuedate,revenue
2018-01-09,357
2018-01-10,604
2018-01-11,431
2018-01-12,415
2018-01-13,622
2018-01-14,55
2018-01-15,243
2018-01-17,399
2018-01-18,249
2018-01-19,118
2018-01-20,706
2018-01-21,64
2018-01-22,262
2018-01-23,560
2018-01-24,332
2018-01-25,230
2018-01-26,207
2018-01-27,201
2018-01-28,6
2018-01-29,435
2018-01-30,193
2018-01-31,261
2018-02-01,572
2018-02-02,620
2018-02-03,285
2018-02-05,89
2018-02-06,104
2018-02-07,653
2018-02-08,1136
2018-02-09,177
2018-02-10,651
2018-02-11,329
2018-02-12,619
2018-02-13,1620
2018-02-14,2814
2018-02-15,272
2018-02-16,382
2018-02-17,438
2018-02-19,69
2018-02-20,385
2018-02-21,640
2018-02-22,573
2018-02-23,335
2018-02-24,215
2018-02-25,39
2018-02-26,754
2018-02-27,101
2018-02-28,165
2018-03-01,374
2018-03-02,742
2018-03-03,303
2018-03-04,59
2018-03-05,490
2018-03-06,13
2018-03-07,709
2018-03-08,881
2018-03-09,353
2018-03-10,352
2018-03-11,100
2018-03-12,241
2018-03-13,202
2018-03-14,412
2018-03-15,626
2018-03-16,490
2018-03-17,250
2018-03-18,65
2018-03-19,185
2018-03-20,68
2018-03-21,98
2018-03-22,108
2018-03-23,497
2018-03-24,627
2018-03-26,313
2018-03-27,98
2018-03-28,656
2018-03-29,245
2018-03-30,58
2018-03-31,166
2018-04-01,152
2018-04-02,658
2018-04-03,266
2018-04-04,1476
2018-04-05,406
2018-04-06,598
2018-04-07,543
2018-04-08,52
2018-04-09,280
2018-04-10,319
2018-04-11,128
2018-04-12,276
2018-04-13,134
2018-04-14,774
2018-04-15,139
2018-04-16,466
2018-04-17,387
2018-04-18,261
2018-04-19,202
2018-04-20,324
2018-04-21,543
2018-04-22,89
2018-04-23,504
2018-04-24,714
2018-04-25,513
2018-04-27,503
2018-04-28,859
2018-04-29,112
2018-04-30,1151
2018-05-01,49
2018-05-02,1993
2018-05-03,1555
2018-05-04,4148
2018-05-05,1894
2018-05-06,558
2018-05-07,1979
2018-05-08,153
2018-05-09,369
2018-05-10,392
2018-05-11,759
2018-05-12,198
2018-05-13,150
2018-05-14,789
2018-05-15,432
2018-05-16,81
2018-05-17,54
2018-05-18,503
2018-05-19,313
2018-05-20,4
2018-05-21,311
2018-05-22,137
2018-05-24,125
2018-05-25,460
2018-05-26,516
2018-05-27,59
2018-05-28,49
2018-05-29,651
2018-05-31,466
2018-06-01,806
2018-06-02,1413
2018-06-03,79
2018-06-04,512
2018-06-05,285
2018-06-06,398
2018-06-07,459
2018-06-08,289
2018-06-09,186
2018-06-11,749
2018-06-12,375
2018-06-13,94
2018-06-14,214
2018-06-15,529
2018-06-16,412
2018-06-17,332
2018-06-18,146
2018-06-19,177
2018-06-20,225
2018-06-21,70
2018-06-22,652
2018-06-23,262
2018-06-24,54
2018-06-25,138
2018-06-26,250
2018-06-27,266
2018-06-28,365
2018-06-29,417
2018-06-30,198
2018-07-01,153
2018-07-02,1540
2018-07-03,452
2018-07-04,799
2018-07-05,304
2018-07-06,309
2018-07-07,725
2018-07-08,124
2018-07-09,517
2018-07-10,342
2018-07-11,620
2018-07-12,544
2018-07-13,560
2018-07-14,63
2018-07-15,103
2018-07-16,903
2018-07-17,173
2018-07-18,204
2018-07-19,290
2018-07-20,384
2018-07-21,465
2018-07-22,23
2018-07-23,156
2018-07-24,389
2018-07-25,178
2018-07-26,351
2018-07-27,402
2018-07-28,268
2018-07-29,25
2018-07-30,338
2018-07-31,167
2018-08-01,205
2018-08-02,2098
2018-08-03,136
2018-08-04,575
2018-08-05,148
2018-08-06,413
2018-08-07,1037
2018-08-08,608
2018-08-09,859
2018-08-10,96
2018-08-11,391
2018-08-12,88
2018-08-13,394
2018-08-14,464
2018-08-15,12
2018-08-16,352
2018-08-17,593
2018-08-18,238
2018-08-19,49
2018-08-20,536
2018-08-21,838
2018-08-22,359
2018-08-23,282
2018-08-24,379
2018-08-25,632
2018-08-26,74
2018-08-27,379
2018-08-28,261
2018-08-29,377
2018-08-30,136
2018-08-31,352
2018-09-01,39
2018-09-02,530
2018-09-03,439
2018-09-04,39
2018-09-05,219
2018-09-06,738
2018-09-07,236
2018-09-08,339
2018-09-10,157
2018-09-11,421
2018-09-12,177
2018-09-13,359
2018-09-14,555
2018-09-15,350
2018-09-16,271
2018-09-17,270
2018-09-18,374
2018-09-19,238
2018-09-20,153
2018-09-21,695
2018-09-22,245
2018-09-23,299
2018-09-24,354
2018-09-25,218
2018-09-26,244
2018-09-27,306
2018-09-28,256
2018-09-29,305
2018-09-30,87
2018-10-01,835
2018-10-02,172
2018-10-03,487
2018-10-04,926
2018-10-05,471
