valuedate,revenue
2017-11-16,3410
2017-11-17,3621
2017-11-18,2271
2017-11-19,2389
2017-11-20,7219
2017-11-21,6226
2017-11-22,5124
2017-11-23,4758
2017-11-24,4755
2017-11-25,3424
2017-11-26,2758
2017-11-27,5887
2017-11-28,7106
2017-11-29,4054
2017-11-30,6575
2017-12-01,7395
2017-12-02,4652
2017-12-03,3571
2017-12-04,7720
2017-12-05,7042
2017-12-06,4190
2017-12-07,6447
2017-12-08,4194
2017-12-09,3339
2017-12-10,3029
2017-12-11,7972
2017-12-12,6224
2017-12-13,4718
2017-12-14,4181
2017-12-15,4118
2017-12-16,2493
2017-12-17,2568
2017-12-18,4965
2017-12-19,5789
2017-12-20,6441
2017-12-21,4781
2017-12-22,4771
2017-12-23,3652
2017-12-24,3194
2017-12-25,2727
2017-12-26,10722
2017-12-27,4987
2017-12-28,6075
2017-12-29,4668
2017-12-30,3650
2017-12-31,3074
2018-01-01,3571
2018-01-02,11145
2018-01-03,6878
2018-01-04,6211
2018-01-05,6059
2018-01-06,3935
2018-01-07,3859
2018-01-08,7336
2018-01-09,7541
2018-01-10,5539
2018-01-11,4726
2018-01-12,4892
2018-01-13,3294
2018-01-14,2554
2018-01-15,6736
2018-01-16,5604
2018-01-17,4263
2018-01-18,4016
2018-01-19,4933
2018-01-20,4942
2018-01-21,3250
2018-01-22,6859
2018-01-23,10109
2018-01-24,5099
2018-01-25,5289
2018-01-26,4953
2018-01-27,3755
2018-01-28,3568
2018-01-29,6564
2018-01-30,6486
2018-01-31,4891
2018-02-01,6950
2018-02-02,6047
2018-02-03,4236
2018-02-04,4016
2018-02-05,7395
2018-02-06,7582
2018-02-07,6027
2018-02-08,6159
2018-02-09,5666
2018-02-10,3587
2018-02-11,3107
2018-02-12,7286
2018-02-13,6610
2018-02-14,4625
2018-02-15,5116
2018-02-16,4305
2018-02-17,3143
2018-02-18,2467
2018-02-19,5842
2018-02-20,7922
2018-02-21,5432
2018-02-22,5590
2018-02-23,5508
2018-02-24,3501
2018-02-25,3256
2018-02-26,6666
2018-02-27,7035
2018-02-28,12846
2018-03-01,7513
2018-03-02,10642
2018-03-03,4838
2018-03-04,4259
2018-03-05,8044
2018-03-06,8540
2018-03-07,5718
2018-03-08,6780
2018-03-09,5469
2018-03-10,4083
2018-03-11,2980
2018-03-12,6700
2018-03-13,6650
2018-03-14,5301
2018-03-15,4792
2018-03-16,4921
2018-03-17,3259
2018-03-18,2702
2018-03-19,5857
2018-03-20,8224
2018-03-21,5458
2018-03-22,5661
2018-03-23,5681
2018-03-24,3438
2018-03-25,3415
2018-03-26,6437
2018-03-27,7040
2018-03-28,5973
2018-03-29,4931
2018-03-30,3780
2018-03-31,2935
2018-04-01,3986
2018-04-02,9775
2018-04-03,7171
2018-04-04,6900
2018-04-05,6000
2018-04-06,5744
2018-04-07,4182
2018-04-08,4504
2018-04-09,7277
2018-04-10,7229
2018-04-11,5045
2018-04-12,4811
2018-04-13,5540
2018-04-14,3005
2018-04-15,3363
2018-04-16,6110
2018-04-17,5858
2018-04-18,4361
2018-04-19,4921
2018-04-20,6769
2018-04-21,4120
2018-04-22,3323
2018-04-23,7365
2018-04-24,6693
2018-04-25,5389
2018-04-26,4968
2018-04-27,5885
2018-04-28,3786
2018-04-29,3478
2018-04-30,9149
2018-05-01,5265
2018-05-02,10701
2018-05-03,6959
2018-05-04,6645
2018-05-05,4503
2018-05-06,3999
2018-05-07,8220
2018-05-08,7855
2018-05-09,6550
2018-05-10,5796
2018-05-11,5345
2018-05-12,3528
2018-05-13,3408
2018-05-14,6399
2018-05-15,6477
2018-05-16,4467
2018-05-17,4215
2018-05-18,4405
2018-05-19,3361
2018-05-20,4784
2018-05-21,6787
2018-05-22,8365
2018-05-23,6004
2018-05-24,4572
2018-05-25,5370
2018-05-26,3228
2018-05-27,3823
2018-05-28,7088
2018-05-29,7196
2018-05-30,6092
2018-05-31,4358
2018-06-01,7574
2018-06-02,3811
2018-06-03,4441
2018-06-04,8064
2018-06-05,6038
2018-06-06,5049
2018-06-07,6054
2018-06-08,6859
2018-06-09,4008
2018-06-10,3424
2018-06-11,7232
2018-06-12,9395
2018-06-13,6371
2018-06-14,4729
2018-06-15,4771
2018-06-16,2998
2018-06-17,3145
2018-06-18,5643
2018-06-19,6730
2018-06-20,6882
2018-06-21,5985
2018-06-22,5831
2018-06-23,3809
2018-06-24,3566
2018-06-25,6922
2018-06-26,6537
2018-06-27,5863
2018-06-28,5943
2018-06-29,5682
2018-06-30,5465
2018-07-01,4275
2018-07-02,10046
2018-07-03,9901
2018-07-04,6269
2018-07-05,7587
2018-07-06,6582
2018-07-07,4085
2018-07-08,4318
2018-07-09,7935
2018-07-10,7694
2018-07-11,5340
2018-07-12,6023
2018-07-13,4968
2018-07-14,2840
2018-07-15,3701
2018-07-16,6402
2018-07-17,5838
2018-07-18,5005
2018-07-19,4794
2018-07-20,7138
2018-07-21,4217
2018-07-22,3575
2018-07-23,7750
2018-07-24,7314
2018-07-25,6166
2018-07-26,5121
2018-07-27,5587
2018-07-28,3871
2018-07-29,3692
2018-07-30,7926
2018-07-31,6181
2018-08-01,8053
2018-08-02,6040
2018-08-03,6519
2018-08-04,3950
2018-08-05,4928
2018-08-06,8399
2018-08-07,7754
2018-08-08,7404
2018-08-09,7512
2018-08-10,5576
2018-08-11,3630
2018-08-12,3873
2018-08-13,7216
2018-08-14,6821
2018-08-15,4555
2018-08-16,6173
2018-08-17,5196
2018-08-18,3752
2018-08-19,3777
2018-08-20,8542
2018-08-21,6909
2018-08-22,6702
2018-08-23,6043
2018-08-24,5314
2018-08-25,3888
2018-08-26,3292
