ticker,category,selected,rest
Maquillalia,Beauty,0.0038157644921109194,0.0029865398059729367
La Plaza de Dia,Grocery,0.08851324876107457,0.07641734302726341
Parque Warner,Entertainment,0.009364328032690182,0.008392294083914842
Wizz Air,Airlines,0.022257366030646264,0.025408388924824093
Oysho,Apparel,0.15882911166215868,0.023486978700345232
Ale-Hop,Restaurant,0.010171932039791458,0.007399792688997927
Vincci,Travel,0.005281032347233849,0.0034302201341427515
Panaria,Restaurant,0.00351565427445895,0.0019263130913734952
Financiera El Corte Ingles,Financial Services,0.5441722716027148,0.47410342518795984
Banggood,E-commerce,0.01694791666116012,0.03475448226391634
Froiz,Retail Stores,0.07621748875404247,0.05205470353861514
Aldeas infantiles,Non-Profit,0.023171072969948105,0.028449616970070136
Opencor,Financial Services,0.003375932001054233,0.003206406366786821
Linea Directa,Insurance,0.7797318605139799,0.8643465661021014
Emov,Transportation,0.016115494074403623,0.012663483141447319
Foot Locker,Apparel,0.03315641079649173,0.022931154798316613
BudgetAir,Travel,0.022065511592678392,0.02028395023909593
Wagamama,Restaurant,0.003166789112589206,0.002188588480014434
Amazon Kindle,E-commerce,0.029313160398212617,0.03147718218415712
Eurostars,Travel,0.024248920157350338,0.01769634308769836
Cinesur,Movies,0.0038473276350776135,0.00311424203534668
Gasolineras Blancas/Libres/Otras,Fuel,0.3970997839852277,0.4619082182413914
Notikumi,Events,0.004391881759150609,0.0054269965878925045
Loops&Coffee,Food,0.00022677926387960358,0.00030355544414822515
Llao llao,Restaurant,0.0025049348151585725,0.0018510729263382663
Bitiba,Fashion,0.006558897576411868,0.008371416028863297
Douglas,Beauty,0.02747897056563772,0.015727803911614567
Aqualandia,Attractions,0.0015518562166543504,0.0011652571751947236
Metro de Sevilla,Transportation,0.003968331621834487,0.004311196997048649
Energia XXI,Fuel,0.31191655125263074,0.3397665275762494
Wiggle,Sports,0.005405560694590264,0.007352929598272165
Prosegur,Security Services,0.0273224439529228,0.03383419143700603
Curenergia,Energy,0.03505676249350064,0.04730406852708889
Rib's,Restaurant,0.02284203303391468,0.022234272799142394
Norauto,Automotive,0.12095112799254705,0.12959802678712098
Sfam,Retail Stores,0.022188328818969125,0.025416306838497136
